|f1|f2|f3|f4|f5|f6|f7|f8|f9|f10|f11|f12|f13|f14|f15|f16|f17|f18|f19|f20|f21|f22|f23|f24|f25|f26|f27|f28|f29|f30|f31|f32|f33|f34|f35|f36|f37|f38|f39|f40|f41|f42|f43|f44|f45|f46|f47|f48|f49|f50|f51|f52|f53|f54|f55|f56|f57|f58|f59|f60|f61|f62|f63|f64|f65|f66|f67|f68|f69|f70|f71|f72|f73|f74|f75|f76|f77|f78|f79|f80|f81|f82|f83|f84|f85|
|Priya|Mehta|House-75, Street-36|Bangalore|TN|758003|India|user4369@mail.com|9247712288|1989-10-04|Other|Google|Designer|https://www.example14.com|user8004|P@ss368|39040699|52957.02|103.202.205.238|965E:2228:33C3|747-93-9821|DL87WX1146|B+|Black|188|82|Indian|Hindi|Muslim|Single|Sports|MCA|0|2020-11-07|IT|65864|1834.46|3.1|Project_BVA|Ms. B|4|Active|Evening|Contract|Yes|Java|Scrum|https://linkedin.com/in/user859|https://github.com/user140|https://twitter.com/user835|https://facebook.com/user613|https://instagram.com/user88|https://youtube.com/user122|IST|1.3236|54.9225|Tablet|Safari|macOS|v3.6.2|Trial|2024-05-07|DISC9629|Debit Card|XXXX-XXXX-XXXX-3608|10/26|843|TXN125466|ORD890559|INV6196|TCKT21507|Excellent|Billing|Resolved|8.3|No|No|TE|Birthplace|Tom|9230153023|Sister|8206361858|N/A|6664|
|Vikash|Yadav|House-148, Street-32|Mumbai|MH|270957|India|user3670@mail.com|9930550992|1981-04-06|Other|TCS|Developer|https://www.example77.com|user1079|P@ss626|28901562|54553.30|97.59.52.208|8FB2:176B:3D13|308-49-8565|DL92ND6537|A-|Black|174|69|Indian|Bengali|Christian|Single|Sports|MCA|0|2012-09-23|HR|78102|5995.59|2.9|Project_HOL|Sir D|3|Inactive|Morning|Contract|Yes|HTML|DevOps|https://linkedin.com/in/user865|https://github.com/user374|https://twitter.com/user874|https://facebook.com/user829|https://instagram.com/user976|https://youtube.com/user170|IST|59.9619|122.8598|Tablet|Chrome|Linux|v3.9.0|Trial|2025-11-19|DISC4802|Netbanking|XXXX-XXXX-XXXX-7056|11/26|676|TXN972626|ORD724203|INV7244|TCKT17720|Good|Login|Pending|7.8|No|Yes|TE|Pet name|Tom|9433942319|Brother|8684084389|N/A|3877|
|Vikash|Mehta|House-83, Street-37|Jaipur|TN|871360|India|user2328@mail.com|9940863080|1990-01-18|Other|Infosys|Developer|https://www.example11.com|user3102|P@ss872|35504540|47622.26|190.173.138.137|C417:702D:B179|569-94-7961|DL51YZ8680|AB-|Red|158|91|Indian|Bengali|Muslim|Married|Music|BTech|9|2014-11-04|Sales|73590|4642.59|0.9|Project_QAI|Sir D|19|Pending|Morning|Contract|No|Python|DevOps|https://linkedin.com/in/user116|https://github.com/user858|https://twitter.com/user524|https://facebook.com/user192|https://instagram.com/user39|https://youtube.com/user253|IST|-30.3302|69.3214|Mobile|Edge|Android|v2.7.9|Premium|2025-02-09|DISC6042|Debit Card|XXXX-XXXX-XXXX-1094|06/28|843|TXN927549|ORD681451|INV9783|TCKT94211|Excellent|Login|Resolved|4.9|No|No|TA|Pet name|Tom|9217296733|Sister|8896064895|N/A|6087|
|Vikash|Gupta|House-107, Street-41|Bangalore|TN|903826|India|user4042@mail.com|9346397259|2004-05-25|Other|Microsoft|Analyst|https://www.example26.com|user7279|P@ss345|45451878|27713.42|101.60.2.123|51AF:E08B:574D|988-52-7081|DL92ED1606|AB-|Blue|154|54|Indian|Tamil|Hindu|Single|Sports|BCA|12|2010-10-01|Finance|106438|4373.68|3.0|Project_FPJ|Mr. A|11|Pending|Night|Permanent|Maybe|HTML|DevOps|https://linkedin.com/in/user900|https://github.com/user213|https://twitter.com/user993|https://facebook.com/user684|https://instagram.com/user499|https://youtube.com/user190|IST|36.3758|155.7329|Laptop|Chrome|Android|v1.8.7|Trial|2026-11-21|DISC3845|Netbanking|XXXX-XXXX-XXXX-2181|01/25|742|TXN647622|ORD804084|INV1149|TCKT53657|Excellent|Billing|Escalated|6.0|Yes|Yes|TE|Birthplace|DPS|9395369689|Mother|8852964952|N/A|7311|
|Neha|Sharma|House-83, Street-21|Bangalore|TN|415155|India|user8101@mail.com|9142657552|2001-08-19|Male|Microsoft|Designer|https://www.example15.com|user3502|P@ss168|74570204|17384.00|56.122.230.116|31D5:B0D0:55FC|585-48-5315|DL22FX6896|B+|Red|165|83|Indian|Telugu|Christian|Married|Reading|BSc|1|2014-01-07|Finance|48979|5886.71|3.3|Project_NLF|Sir D|5|Pending|Night|Contract|No|C#|AWS|https://linkedin.com/in/user166|https://github.com/user199|https://twitter.com/user955|https://facebook.com/user631|https://instagram.com/user954|https://youtube.com/user489|IST|86.0195|179.1103|Laptop|Edge|Linux|v1.3.3|Free|2026-05-22|DISC1858|Credit Card|XXXX-XXXX-XXXX-3587|11/29|663|TXN787486|ORD717529|INV7284|TCKT17287|Excellent|Feature|Resolved|2.4|Yes|Yes|TE|School name|Tom|9733878051|Father|8775432113|N/A|5976|
|Rahul|Sharma|House-31, Street-49|Mumbai|WB|672769|India|user9529@mail.com|9974902919|1991-09-10|Female|Microsoft|Manager|https://www.example38.com|user3956|P@ss879|34147820|79161.36|228.155.230.95|47BB:FD59:8B8D|687-75-4104|DL82AR6951|O-|Blue|188|53|Indian|Hindi|Christian|Single|Music|BSc|10|2014-08-10|Sales|104525|7957.44|4.8|Project_SQG|Sir D|14|Inactive|Night|Permanent|No|Python|Scrum|https://linkedin.com/in/user994|https://github.com/user13|https://twitter.com/user830|https://facebook.com/user952|https://instagram.com/user642|https://youtube.com/user721|IST|35.0918|-11.7572|Laptop|Edge|Android|v1.8.9|Premium|2024-08-19|DISC2834|Debit Card|XXXX-XXXX-XXXX-8349|12/26|203|TXN450115|ORD466780|INV8902|TCKT92710|Poor|Bug|Escalated|7.3|No|Yes|TA|School name|DPS|9442598741|Father|8659312197|N/A|1396|
|Sneha|Gupta|House-46, Street-46|Bangalore|TN|833397|India|user3885@mail.com|9635460086|1986-08-06|Other|Microsoft|Developer|https://www.example62.com|user7437|P@ss606|31174626|84295.64|198.177.159.243|0832:838E:852A|353-71-6241|DL61LQ2411|A-|White|198|53|Indian|Tamil|Hindu|Married|Reading|BCA|4|2014-05-07|IT|102627|7730.72|3.9|Project_JRR|Ms. B|18|Active|Night|Permanent|Maybe|Python|DevOps|https://linkedin.com/in/user894|https://github.com/user615|https://twitter.com/user110|https://facebook.com/user512|https://instagram.com/user419|https://youtube.com/user470|IST|6.7778|43.5706|Laptop|Safari|Windows|v3.0.7|Premium|2026-03-06|DISC3499|UPI|XXXX-XXXX-XXXX-5183|12/29|296|TXN797074|ORD960090|INV8928|TCKT34561|Average|Login|Escalated|8.0|No|No|HI|School name|Tom|9850852761|Sister|8797113357|N/A|6160|
|Rahul|Kumar|House-199, Street-10|Delhi|RJ|562037|India|user4659@mail.com|9419963389|1999-01-15|Female|Google|Designer|https://www.example80.com|user9023|P@ss763|51708961|58904.28|68.236.62.247|60C6:5C76:93B1|399-33-5527|DL45GK8245|A+|Black|164|68|Indian|Bengali|Muslim|Single|Sports|MBA|4|2012-04-03|HR|34132|4721.30|0.9|Project_JHG|Mr. A|16|Inactive|Morning|Permanent|Maybe|SQL|GCP|https://linkedin.com/in/user782|https://github.com/user17|https://twitter.com/user20|https://facebook.com/user234|https://instagram.com/user555|https://youtube.com/user6|IST|64.5621|-139.1313|Mobile|Chrome|macOS|v3.9.2|Free|2025-03-04|DISC5242|Credit Card|XXXX-XXXX-XXXX-3135|10/26|140|TXN999416|ORD250990|INV8005|TCKT30190|Excellent|Bug|Resolved|0.4|No|No|TE|Pet name|Tom|9918693226|Sister|8191453606|N/A|4448|
|Neha|Gupta|House-192, Street-47|Chennai|MH|829872|India|user7393@mail.com|9933221845|1982-11-10|Male|Infosys|Designer|https://www.example69.com|user9783|P@ss311|44934856|22762.18|162.219.50.229|5BE7:263D:D523|378-43-4328|DL94GN4181|A+|Blue|194|98|Indian|Tamil|Muslim|Married|Music|MCA|6|2018-12-16|HR|89087|3765.38|4.4|Project_VDC|Mr. A|12|Pending|Morning|Contract|Maybe|SQL|Scrum|https://linkedin.com/in/user521|https://github.com/user986|https://twitter.com/user314|https://facebook.com/user939|https://instagram.com/user483|https://youtube.com/user346|IST|69.1329|150.1798|Laptop|Firefox|Windows|v3.3.4|Trial|2025-07-07|DISC3463|Netbanking|XXXX-XXXX-XXXX-6712|01/27|224|TXN220897|ORD463706|INV3614|TCKT54913|Average|Bug|Pending|6.4|No|Yes|TE|School name|Tom|9729813703|Brother|8294388078|N/A|4480|
|Vikash|Mehta|House-123, Street-34|Bangalore|RJ|622091|India|user9239@mail.com|9355820614|1995-04-17|Other|Infosys|Tester|https://www.example49.com|user2585|P@ss823|17131288|5575.01|98.95.181.220|7AFE:3095:FA62|829-76-1519|DL41WD8936|B-|Green|180|85|Indian|Tamil|Muslim|Single|Reading|BTech|8|2023-05-06|Sales|110024|4264.89|0.8|Project_BJE|Sir D|5|Inactive|Evening|Contract|Maybe|HTML|Scrum|https://linkedin.com/in/user570|https://github.com/user543|https://twitter.com/user620|https://facebook.com/user265|https://instagram.com/user399|https://youtube.com/user608|IST|40.9589|-88.5421|Laptop|Firefox|Android|v1.5.7|Premium|2025-03-06|DISC7976|Credit Card|XXXX-XXXX-XXXX-9242|04/29|366|TXN544197|ORD949310|INV2172|TCKT31579|Poor|Login|Escalated|6.5|Yes|Yes|TA|Birthplace|DPS|9735221451|Sister|8637606994|N/A|1984|
